,Geografico,Região,2017,2018,2019,2020,2021
3,NUTS III,Alto Minho,9,9,9,8,8
14,NUTS III,Cávado,29,29,30,29,29
21,NUTS III,Ave,15,17,17,17,17
30,NUTS III,Área Metropolitana do Porto,91,93,94,92,96
48,NUTS III,Alto Tâmega,1,1,1,1,1
55,NUTS III,Tâmega e Sousa,9,9,8,8,8
67,NUTS III,Douro,12,14,13,12,12
87,NUTS III,Terras de Trás-os-Montes,2,2,2,2,2
98,NUTS III,Oeste,12,13,13,13,12
111,NUTS III,Região de Aveiro,20,20,14,14,6
123,NUTS III,Região de Coimbra,30,29,29,31,29
143,NUTS III,Região de Leiria,17,19,18,17,18
154,NUTS III,Viseu Dão Lafões,14,14,14,14,14
169,NUTS III,Beira Baixa,6,6,7,6,6
176,NUTS III,Médio Tejo,6,6,7,6,7
190,NUTS III,Beiras e Serra da Estrela,10,11,11,11,10
207,NUTS III,Área Metropolitana de Lisboa,187,191,193,186,176
227,NUTS III,Alentejo Litoral,7,7,6,5,5
233,NUTS III,Baixo Alentejo,5,8,7,5,5
247,NUTS III,Lezíria do Tejo,9,9,9,9,9
259,NUTS III,Alto Alentejo,4,5,5,3,5
275,NUTS III,Alentejo Central,13,13,13,11,10
291,NUTS III,Algarve,41,40,40,41,39
310,NUTS III,Ilha de Santa Maria,0,0,0,0,0
312,NUTS III,Ilha de São Miguel,5,5,5,6,6
319,NUTS III,Ilha Terceira,3,3,3,3,2
322,NUTS III,Ilha Graciosa,0,0,0,0,0
324,NUTS III,Ilha de São Jorge,0,0,0,0,0
327,NUTS III,Ilha do Pico,1,1,1,1,1
331,NUTS III,Ilha do Faial,0,0,0,0,0
333,NUTS III,Ilha das Flores,0,0,0,0,0
336,NUTS III,Ilha do Corvo,0,0,0,0,0
340,NUTS III,Ilha da Madeira,13,13,14,14,14
351,NUTS III,Ilha de Porto Santo,0,0,0,0,0
