,Geografico,Região,2017,2018,2019,2020,2021
3,NUTS III,Alto Minho,153259,136988,146257,30032,50170
14,NUTS III,Cávado,763126,744583,760726,182125,261058
21,NUTS III,Ave,295363,273557,285567,67041,109930
30,NUTS III,Área Metropolitana do Porto,3216487,3048766,3182599,839136,1220378
48,NUTS III,Alto Tâmega,7228,6526,6216,993,1993
55,NUTS III,Tâmega e Sousa,204954,203436,214098,48134,86990
67,NUTS III,Douro,218556,198271,204457,48389,79065
87,NUTS III,Terras de Trás-os-Montes,14870,12993,13950,2149,2566
98,NUTS III,Oeste,321375,288062,312887,64889,112650
111,NUTS III,Região de Aveiro,391064,325190,327696,60445,9829
123,NUTS III,Região de Coimbra,600709,564675,564060,152493,233423
143,NUTS III,Região de Leiria,344176,301576,319340,75798,113316
154,NUTS III,Viseu Dão Lafões,282699,259183,271661,67449,104368
169,NUTS III,Beira Baixa,72442,70755,70806,15722,24527
176,NUTS III,Médio Tejo,96877,91460,101881,26506,47782
190,NUTS III,Beiras e Serra da Estrela,129132,119870,127910,26684,45343
207,NUTS III,Área Metropolitana de Lisboa,6895109,6431879,6861597,1680473,2372845
227,NUTS III,Alentejo Litoral,44900,42100,58477,10589,11565
233,NUTS III,Baixo Alentejo,14173,13577,15589,4320,5397
247,NUTS III,Lezíria do Tejo,125260,112129,120872,31480,47313
259,NUTS III,Alto Alentejo,6880,9290,11903,1020,1256
275,NUTS III,Alentejo Central,39449,197060,180346,41012,64927
291,NUTS III,Algarve,917111,920495,949259,223223,328159
310,NUTS III,Ilha de Santa Maria,0,0,0,0,0
312,NUTS III,Ilha de São Miguel,120635,107298,117586,25872,39393
319,NUTS III,Ilha Terceira,34669,28065,30768,5420,6189
322,NUTS III,Ilha Graciosa,0,0,0,0,0
324,NUTS III,Ilha de São Jorge,0,0,0,0,0
327,NUTS III,Ilha do Pico,7151,3542,5094,711,724
331,NUTS III,Ilha do Faial,0,0,0,0,0
333,NUTS III,Ilha das Flores,0,0,0,0,0
336,NUTS III,Ilha do Corvo,0,0,0,0,0
340,NUTS III,Ilha da Madeira,291980,265300,279140,70556,99252
351,NUTS III,Ilha de Porto Santo,0,0,0,0,0
