,Geografico,Região,2017,2018,2019,2020,2021
3,NUTS III,Alto Minho,1690,1690,1690,1490,1458
14,NUTS III,Cávado,5879,5879,5977,5763,5875
21,NUTS III,Ave,2861,3458,3458,3458,3458
30,NUTS III,Área Metropolitana do Porto,18221,18913,19105,18500,19976
48,NUTS III,Alto Tâmega,177,177,177,177,177
55,NUTS III,Tâmega e Sousa,1238,1238,1043,1043,1043
67,NUTS III,Douro,2150,2700,2451,2044,2150
87,NUTS III,Terras de Trás-os-Montes,742,742,742,742,742
98,NUTS III,Oeste,1651,1870,1870,1870,1651
111,NUTS III,Região de Aveiro,4765,4765,4344,4344,1790
123,NUTS III,Região de Coimbra,5765,6133,6402,6665,5881
143,NUTS III,Região de Leiria,3571,3987,3767,3571,3736
154,NUTS III,Viseu Dão Lafões,2227,2227,2227,2227,2227
169,NUTS III,Beira Baixa,1418,1418,1676,1418,1418
176,NUTS III,Médio Tejo,1147,1147,1269,1151,1316
190,NUTS III,Beiras e Serra da Estrela,1453,1613,1617,1600,1436
207,NUTS III,Área Metropolitana de Lisboa,33864,35125,34509,34213,32106
227,NUTS III,Alentejo Litoral,1410,1410,1385,1109,1109
233,NUTS III,Baixo Alentejo,1347,2047,1749,1440,1440
247,NUTS III,Lezíria do Tejo,1299,1299,1299,1299,1299
259,NUTS III,Alto Alentejo,1051,1163,1215,842,1193
275,NUTS III,Alentejo Central,2757,3037,3037,2303,1964
291,NUTS III,Algarve,7391,6602,6602,6944,6885
310,NUTS III,Ilha de Santa Maria,0,0,0,0,0
312,NUTS III,Ilha de São Miguel,643,643,643,1388,1388
319,NUTS III,Ilha Terceira,738,738,738,738,357
322,NUTS III,Ilha Graciosa,0,0,0,0,0
324,NUTS III,Ilha de São Jorge,0,0,0,0,0
327,NUTS III,Ilha do Pico,333,333,333,333,333
331,NUTS III,Ilha do Faial,0,0,0,0,0
333,NUTS III,Ilha das Flores,0,0,0,0,0
336,NUTS III,Ilha do Corvo,0,0,0,0,0
340,NUTS III,Ilha da Madeira,2647,2647,2831,2831,2831
351,NUTS III,Ilha de Porto Santo,0,0,0,0,0
