,Geografico,Região,2017,2018,2019,2020,2021
3,NUTS III,Alto Minho,25.2,22.6,24.8,13.6,17.5
14,NUTS III,Cávado,23.1,23.0,24.4,14.9,17.1
21,NUTS III,Ave,18.8,16.9,17.4,9.6,11.8
30,NUTS III,Área Metropolitana do Porto,27.0,25.1,26.7,16.2,18.8
48,NUTS III,Alto Tâmega,44.1,41.6,41.4,34.2,15.9
55,NUTS III,Tâmega e Sousa,24.1,21.7,22.1,11.5,15.1
67,NUTS III,Douro,22.4,20.7,20.8,10.9,14.7
87,NUTS III,Terras de Trás-os-Montes,104.7,67.3,77.1,50.0,64.2
98,NUTS III,Oeste,22.3,21.0,22.4,10.8,14.8
111,NUTS III,Região de Aveiro,20.9,22.7,28.6,20.7,13.0
123,NUTS III,Região de Coimbra,20.1,19.2,19.5,11.6,14.9
143,NUTS III,Região de Leiria,18.5,16.5,17.9,10.4,13.1
154,NUTS III,Viseu Dão Lafões,18.8,17.6,18.3,10.8,13.6
169,NUTS III,Beira Baixa,17.1,16.4,16.6,8.1,10.6
176,NUTS III,Médio Tejo,23.9,21.2,22.5,11.3,16.6
190,NUTS III,Beiras e Serra da Estrela,13.0,12.2,13.2,8.0,9.3
207,NUTS III,Área Metropolitana de Lisboa,25.1,24.4,25.5,15.0,18.3
227,NUTS III,Alentejo Litoral,24.6,24.1,34.0,19.8,17.2
233,NUTS III,Baixo Alentejo,84.4,87.6,75.7,60.0,49.5
247,NUTS III,Lezíria do Tejo,16.2,14.9,14.9,7.9,10.2
259,NUTS III,Alto Alentejo,88.2,69.8,63.7,53.7,29.9
275,NUTS III,Alentejo Central,56.7,22.8,22.8,12.3,15.8
291,NUTS III,Algarve,18.9,16.8,17.8,10.3,12.8
310,NUTS III,Ilha de Santa Maria,0.0,0.0,0.0,0.0,0.0
312,NUTS III,Ilha de São Miguel,20.7,18.6,20.6,11.2,16.6
319,NUTS III,Ilha Terceira,103.8,88.8,90.5,52.6,40.5
322,NUTS III,Ilha Graciosa,0.0,0.0,0.0,0.0,0.0
324,NUTS III,Ilha de São Jorge,0.0,0.0,0.0,0.0,0.0
327,NUTS III,Ilha do Pico,145.9,107.3,118.5,64.6,42.6
331,NUTS III,Ilha do Faial,0.0,0.0,0.0,0.0,0.0
333,NUTS III,Ilha das Flores,0.0,0.0,0.0,0.0,0.0
336,NUTS III,Ilha do Corvo,0.0,0.0,0.0,0.0,0.0
340,NUTS III,Ilha da Madeira,16.2,15.2,16.1,9.2,11.3
351,NUTS III,Ilha de Porto Santo,0.0,0.0,0.0,0.0,0.0
