,Geografico,Região,2017,2018,2019,2020,2021
3,NUTS III,Alto Minho,669166,619074,678018,140104,246799
14,NUTS III,Cávado,3787146,3765831,3876631,935535,1367176
21,NUTS III,Ave,1434593,1360328,1430017,329050,589694
30,NUTS III,Área Metropolitana do Porto,16550925,15862061,16679585,4510954,6766552
48,NUTS III,Alto Tâmega,34964,30144,29771,4724,9563
55,NUTS III,Tâmega e Sousa,1008364,1036059,1101257,252376,460513
67,NUTS III,Douro,1087968,987731,1020129,253280,423017
87,NUTS III,Terras de Trás-os-Montes,30534,35104,37280,6058,6905
98,NUTS III,Oeste,1697599,1537968,1661301,351293,624645
111,NUTS III,Região de Aveiro,1964329,1644168,1632031,274040,17151
123,NUTS III,Região de Coimbra,3118044,2969715,2992248,799092,1257838
143,NUTS III,Região de Leiria,1828695,1622018,1718794,419067,630202
154,NUTS III,Viseu Dão Lafões,1467534,1348862,1421137,355492,574633
169,NUTS III,Beira Baixa,343474,343595,345942,77625,125970
176,NUTS III,Médio Tejo,479401,453364,502990,133312,239471
190,NUTS III,Beiras e Serra da Estrela,628287,593279,634425,134320,236480
207,NUTS III,Área Metropolitana de Lisboa,37619056,35834083,38472499,9469461,13859691
227,NUTS III,Alentejo Litoral,169309,142049,177874,27726,46534
233,NUTS III,Baixo Alentejo,31874,30493,35443,10772,8221
247,NUTS III,Lezíria do Tejo,618329,560827,621666,166349,263395
259,NUTS III,Alto Alentejo,16508,27478,40669,2304,3887
275,NUTS III,Alentejo Central,147730,1007662,932315,212915,351820
291,NUTS III,Algarve,4735565,4857503,5000907,1183739,1754946
310,NUTS III,Ilha de Santa Maria,0,0,0,0,0
312,NUTS III,Ilha de São Miguel,623129,562267,618989,133686,212344
319,NUTS III,Ilha Terceira,94018,75305,78908,13873,16191
322,NUTS III,Ilha Graciosa,0,0,0,0,0
324,NUTS III,Ilha de São Jorge,0,0,0,0,0
327,NUTS III,Ilha do Pico,27618,12378,16509,2772,2797
331,NUTS III,Ilha do Faial,0,0,0,0,0
333,NUTS III,Ilha das Flores,0,0,0,0,0
336,NUTS III,Ilha do Corvo,0,0,0,0,0
340,NUTS III,Ilha da Madeira,1464259,1358087,1433297,367498,525727
351,NUTS III,Ilha de Porto Santo,0,0,0,0,0
