,Geografico,Região,2017,2018,2019,2020,2021
3,NUTS III,Alto Minho,6,6,6,5,5
14,NUTS III,Cávado,6,6,7,6,7
21,NUTS III,Ave,5,5,5,5,5
30,NUTS III,Área Metropolitana do Porto,20,22,21,19,24
48,NUTS III,Alto Tâmega,1,1,1,1,1
55,NUTS III,Tâmega e Sousa,3,3,2,2,2
67,NUTS III,Douro,6,8,7,6,6
87,NUTS III,Terras de Trás-os-Montes,2,2,2,2,2
98,NUTS III,Oeste,4,5,5,5,4
111,NUTS III,Região de Aveiro,8,8,8,8,6
123,NUTS III,Região de Coimbra,12,10,10,12,11
143,NUTS III,Região de Leiria,5,7,6,5,6
154,NUTS III,Viseu Dão Lafões,4,4,4,4,4
169,NUTS III,Beira Baixa,4,4,5,4,4
176,NUTS III,Médio Tejo,4,4,5,4,5
190,NUTS III,Beiras e Serra da Estrela,4,5,5,5,4
207,NUTS III,Área Metropolitana de Lisboa,32,37,37,35,33
227,NUTS III,Alentejo Litoral,7,7,6,5,5
233,NUTS III,Baixo Alentejo,4,6,6,5,5
247,NUTS III,Lezíria do Tejo,4,4,4,4,4
259,NUTS III,Alto Alentejo,4,5,5,3,5
275,NUTS III,Alentejo Central,8,8,8,7,6
291,NUTS III,Algarve,12,11,11,12,13
310,NUTS III,Ilha de Santa Maria,0,0,0,0,0
312,NUTS III,Ilha de São Miguel,2,2,2,3,3
319,NUTS III,Ilha Terceira,3,3,3,3,2
322,NUTS III,Ilha Graciosa,0,0,0,0,0
324,NUTS III,Ilha de São Jorge,0,0,0,0,0
327,NUTS III,Ilha do Pico,1,1,1,1,1
331,NUTS III,Ilha do Faial,0,0,0,0,0
333,NUTS III,Ilha das Flores,0,0,0,0,0
336,NUTS III,Ilha do Corvo,0,0,0,0,0
340,NUTS III,Ilha da Madeira,2,2,3,3,3
351,NUTS III,Ilha de Porto Santo,0,0,0,0,0
