,Geografico,Região,2017,2018,2019,2020,2021
3,NUTS III,Alto Minho,6082,6065,5896,2216,2868
14,NUTS III,Cávado,33042,32415,31166,12243,15246
21,NUTS III,Ave,15703,16141,16371,6994,9353
30,NUTS III,Área Metropolitana do Porto,119324,121292,119219,51875,64805
48,NUTS III,Alto Tâmega,164,157,150,29,125
55,NUTS III,Tâmega e Sousa,8506,9381,9671,4198,5761
67,NUTS III,Douro,9777,9595,9838,4421,5378
87,NUTS III,Terras de Trás-os-Montes,142,193,181,43,40
98,NUTS III,Oeste,14432,13735,13969,6016,7635
111,NUTS III,Região de Aveiro,18679,14297,11474,2918,757
123,NUTS III,Região de Coimbra,29915,29459,28856,13143,15704
143,NUTS III,Região de Leiria,18609,18316,17850,7299,8633
154,NUTS III,Viseu Dão Lafões,15050,14722,14884,6220,7682
169,NUTS III,Beira Baixa,4237,4304,4254,1939,2324
176,NUTS III,Médio Tejo,4061,4323,4534,2349,2873
190,NUTS III,Beiras e Serra da Estrela,9897,9829,9726,3350,4887
207,NUTS III,Área Metropolitana de Lisboa,275068,263568,268662,111913,129929
227,NUTS III,Alentejo Litoral,1827,1747,1721,534,672
233,NUTS III,Baixo Alentejo,168,155,206,72,109
247,NUTS III,Lezíria do Tejo,7719,7539,8108,4006,4634
259,NUTS III,Alto Alentejo,78,133,187,19,42
275,NUTS III,Alentejo Central,696,8646,7915,3327,4102
291,NUTS III,Algarve,48435,54749,53358,21758,25587
310,NUTS III,Ilha de Santa Maria,0,0,0,0,0
312,NUTS III,Ilha de São Miguel,5836,5781,5703,2303,2374
319,NUTS III,Ilha Terceira,334,316,340,103,153
322,NUTS III,Ilha Graciosa,0,0,0,0,0
324,NUTS III,Ilha de São Jorge,0,0,0,0,0
327,NUTS III,Ilha do Pico,49,33,43,11,17
331,NUTS III,Ilha do Faial,0,0,0,0,0
333,NUTS III,Ilha das Flores,0,0,0,0,0
336,NUTS III,Ilha do Corvo,0,0,0,0,0
340,NUTS III,Ilha da Madeira,18011,17450,17347,7683,8783
351,NUTS III,Ilha de Porto Santo,0,0,0,0,0
